scenario,exposure_bn,pricing_income_bn,funding_cost_bn,credit_loss_bn,risk_adjusted_financial_result_bn,credit_risk_adjusted_spread
Base,6573.0,405.8294,360.5742,65.05287137071319,-19.797671370713196,-0.006023937736410527
Combined,6573.0,406.5116003603953,425.23810666840325,93.61932015667797,-112.34582646468601,-0.03418403361164948
Moderate,6573.0,395.573256024853,392.60919252574536,73.59638444534096,-70.6323209462333,-0.021491654022891618
Severe,6573.0,385.31711204970605,424.64418505149064,82.13989751996874,-121.46697052175332,-0.036959370309372686
Structural,6573.0,417.52934000000005,360.9192825,69.4115839498695,-12.801526449869485,-0.003895185288260911
