mortgage_pricing_rate,risk_adjusted_financial_result_bn
0.09,-19.797671370713196
0.09088,-17.914559370713178
0.09176,-16.031447370713195
0.09264,-14.148335370713184
0.09351999999999999,-12.265223370713201
0.0944,-10.38211137071319
0.09528,-8.498999370713179
0.09616,-6.615887370713196
0.09704,-4.732775370713185
0.09792,-2.849663370713202
0.0988,-0.9665513707131907
0.09967999999999999,0.916560629286792
0.10056,2.7996726292868104
0.10144,4.682784629286822
0.10232,6.565896629286804
0.1032,8.449008629286816
0.10407999999999999,10.332120629286798
0.10496,12.21523262928681
0.10583999999999999,14.098344629286792
0.10672,15.981456629286807
0.1076,17.86456862928682
0.10848,19.747680629286798
0.10936,21.630792629286812
0.11023999999999999,23.513904629286795
0.11112,25.397016629286806
0.11199999999999999,27.28012862928679
0.11288,29.163240629286804
0.11376,31.046352629286815
0.11463999999999999,32.9294646292868
0.11552,34.81257662928681
0.11639999999999999,36.69568862928679
0.11728,38.5788006292868
0.11815999999999999,40.461912629286786
0.11903999999999999,42.3450246292868
0.11992,44.22813662928681
0.12079999999999999,46.11124862928679
0.12168,47.99436062928681
0.12256,49.87747262928682
0.12344,51.760584629286804
0.12431999999999999,53.64369662928679
0.12519999999999998,55.52680862928677
0.12608,57.409920629286816
0.12696,59.2930326292868
0.12784,61.17614462928684
0.12872,63.05925662928682
0.1296,64.9423686292868
0.13047999999999998,66.82548062928679
0.13135999999999998,68.70859262928677
0.13224,70.59170462928681
0.13312,72.47481662928679
0.134,74.35792862928685
0.13488,76.24104062928681
0.13576,78.1241526292868
0.13663999999999998,80.00726462928678
0.13751999999999998,81.89037662928676
0.1384,83.77348862928682
0.13928,85.6566006292868
0.14016,87.53971262928684
0.14104,89.42282462928682
0.14192,91.3059366292868
0.14279999999999998,93.18904862928679
0.14368,95.07216062928683
0.14456,96.95527262928681
0.14543999999999999,98.8383846292868
0.14632,100.72149662928683
0.1472,102.60460862928682
0.14808,104.4877206292868
0.14895999999999998,106.37083262928678
0.14984,108.25394462928682
0.15072,110.1370566292868
0.15159999999999998,112.02016862928679
0.15248,113.90328062928683
0.15336,115.78639262928681
0.15424,117.66950462928679
0.15511999999999998,119.55261662928677
0.15599999999999997,121.43572862928676
0.15688,123.3188406292868
0.15776,125.20195262928684
0.15864,127.08506462928682
0.15952,128.9681766292868
0.1604,130.85128862928678
0.16127999999999998,132.73440062928677
0.16215999999999997,134.61751262928675
0.16304,136.5006246292868
0.16392,138.38373662928683
0.1648,140.2668486292868
0.16568,142.1499606292868
0.16655999999999999,144.03307262928678
0.16743999999999998,145.91618462928676
0.16831999999999997,147.79929662928674
0.1692,149.6824086292868
0.17008,151.56552062928685
0.17096,153.44863262928683
0.17184,155.33174462928682
0.17271999999999998,157.2148566292868
0.17359999999999998,159.09796862928678
0.17448,160.98108062928682
0.17536,162.8641926292868
0.17624,164.74730462928684
0.17712,166.63041662928683
0.178,168.5135286292868
