product,credit_cost_sigma,product_rate_sigma,funding_rate_sigma,credit_cost_n,product_rate_n,funding_rate_n
Mortgage,0.0011063641198315146,0.006043315866862056,0.03918885896101935,3,6,6
Consumer,0.011075131968866421,0.023254676948949435,0.03918885896101935,3,6,6
Auto,0.01989089050396728,0.021093482405710063,0.03918885896101935,3,6,6
Cards,0.007702936087981739,0.04130667823326717,0.03333196663864885,3,6,6
