scenario,reverse_type,target_product,threshold,threshold_unit,boundary_result_bn,base_result_bn,status,marginal_result_change_bn_per_1pp_share
Severe,critical_product_share_vs_mortgage,Cards,0.033987524722349005,share,0.0,-121.46697052175332,ALREADY_AT_OR_BELOW_BOUNDARY,4.292348157751195
Structural,portfolio_credit_cost_multiplier,ALL,0.8155707488376145,x,0.0,-12.801526449869492,THRESHOLD_BELOW_CURRENT_1X,
Structural,product_break_even_credit_cost,Consumer,0.06599999999999999,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,marginal_break_even_credit_cost_vs_mortgage,Consumer,0.0918019341554265,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,critical_product_share_vs_mortgage,Consumer,0.2521466605811654,share,0.0,-12.801526449869492,ALREADY_AT_OR_BELOW_BOUNDARY,1.6198390398566764
Structural,product_break_even_credit_cost,Auto,0.05600000000000001,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,marginal_break_even_credit_cost_vs_mortgage,Auto,0.08180193415542653,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,critical_product_share_vs_mortgage,Auto,0.09274760383386581,share,0.0,-12.801526449869492,ALREADY_AT_OR_BELOW_BOUNDARY,1.2602836838888147
Structural,product_break_even_credit_cost,Cards,0.182,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,marginal_break_even_credit_cost_vs_mortgage,Cards,0.2078019341554265,annual_rate,0.0,-12.801526449869492,FEASIBLE,
Structural,critical_product_share_vs_mortgage,Cards,0.038987524722349,share,0.0,-12.801526449869492,ALREADY_AT_OR_BELOW_BOUNDARY,4.992366314483051
